videoName,videoUrl,videoView
[allshowTV - 마이콤마] 블록체인 기반 글로벌 번역 메신저 플랫폼 시대가 열린다,https://www.youtube.com/watch?v=Ei7inH_hYOs,114회
통역대학원생에 ‘AI 번역 플랫폼’ 제안한 박영선…야당 “일자리 타노스”,https://www.youtube.com/watch?v=u3Udn-FCAv8,127회
생활을 윤택하게 하는 인공지능 플랫폼! [극찬기업] 23-1 / YTN 사이언스,https://www.youtube.com/watch?v=UhtGONtTEwQ,"2,096회"
가우르 구라 데뷰 방송 (한글자막),https://www.youtube.com/watch?v=BOwijVWEUN4,"85,052회"
"4차 산업혁명 시대, 플랫폼 기업과 노동의 문제점을 파악하고 해결책을 다룬 '플랫폼 노동은 상품이 아니다' - [사람과 책] 2회. ‘플랫폼 노동 책읽기 모임’ 이영주 편",https://www.youtube.com/watch?v=vVeZfS8kQSg,215회
[스타트업人인사이트] 월클 BJ들이 찾는다는 '보이스루'의 이상헌 대표,https://www.youtube.com/watch?v=8bMuoQUbFoQ,"1,998회"
'발번역' 넘어서 자동 통·번역 시대로…음성인식과 번역 기술 / YTN 사이언스,https://www.youtube.com/watch?v=ItExAOE8x6Q,"2,652회"
번역가는 프라다를 입는다| 패션 번역의 세계(ft. 자기만의 번역 분야 개척하기),https://www.youtube.com/watch?v=nHwQBLifSso,"1,649회"
[주식투자] 4차 산업혁명의 핵심 인공지능(AI) 플랫폼 투자 유망 회사는?,https://www.youtube.com/watch?v=ye-eZovygVM,"10,556회"
(Pi Network 2020.03.13) 파이코인개발진들.. 앱플랫폼을 만든다고????,https://www.youtube.com/watch?v=Vwpxy-Fzvbw,"6,450회"
[플랫폼사업을해야한다-서브플랫폼으로편입되는것도의미가있다,https://www.youtube.com/watch?v=014JCyTfKbs,21회
"엔터테인먼트 플랫폼 스타트업, 달라라네트워크 [투데이JOBS 200128]",https://www.youtube.com/watch?v=_tz7QTYcSEM,890회
구글클라우드 플랫폼 Vision AI 한글 번역 작업본,https://www.youtube.com/watch?v=sO8Mym1z3MI,61회
홀로-포테이션으로 모이는 마이크로소프트 Mesh 플랫폼,https://www.youtube.com/watch?v=_Ej2po7NROM,"16,602회"
Mighty No. 9 (마이티 넘버 9) - 스테이지 2.석유 플랫폼,https://www.youtube.com/watch?v=fRNOysDwA14,424회
번역이 어려운 AI,https://www.youtube.com/watch?v=8rW-n_tsqvw,"2,048회"
박형식 우리은행 위비플랫폼 CF! 벌써 벌써 위비~♪,https://www.youtube.com/watch?v=Nute_tQExX4,"133,353회"
[스타트업 온라인 채용박람회] ㈜보이스루 | 언어와 소리의 장벽을 넘어,https://www.youtube.com/watch?v=GeiUNEqNb2w,484회
